,Subjects,Difference,Total-B/D,Study,AgeProfile
408,Subj_409,-1735,66.0,Wood,Old
409,Subj_410,-1295,68.0,Wood,Old
410,Subj_411,-600,56.00000000000001,Wood,Old
411,Subj_412,885,62.0,Wood,Old
412,Subj_413,-1570,77.0,Wood,Old
413,Subj_414,360,25.0,Wood,Old
414,Subj_415,-1530,56.99999999999999,Wood,Old
415,Subj_416,-200,82.0,Wood,Old
416,Subj_417,1880,69.0,Wood,Old
417,Subj_418,-600,48.0,Wood,Old
418,Subj_419,-3225,80.0,Wood,Old
419,Subj_420,-1850,59.0,Wood,Old
420,Subj_421,270,72.0,Wood,Old
421,Subj_422,2005,54.0,Wood,Old
422,Subj_423,-505,67.0,Wood,Old
423,Subj_424,-1220,49.0,Wood,Old
424,Subj_425,-525,68.0,Wood,Old
425,Subj_426,-2135,54.0,Wood,Old
426,Subj_427,-1350,53.0,Wood,Old
427,Subj_428,490,55.00000000000001,Wood,Old
428,Subj_429,-1415,73.0,Wood,Old
429,Subj_430,-535,67.0,Wood,Old
430,Subj_431,290,50.0,Wood,Old
431,Subj_432,-850,49.0,Wood,Old
432,Subj_433,-850,49.0,Wood,Old
433,Subj_434,-990,53.0,Wood,Old
434,Subj_435,-4050,67.0,Wood,Old
435,Subj_436,-1345,60.0,Wood,Old
436,Subj_437,-145,81.0,Wood,Old
437,Subj_438,-560,59.0,Wood,Old
438,Subj_439,-1425,74.0,Wood,Old
439,Subj_440,-2260,61.0,Wood,Old
440,Subj_441,-2065,67.0,Wood,Old
441,Subj_442,-735,70.0,Wood,Old
442,Subj_443,-2125,67.0,Wood,Old
443,Subj_444,-1550,73.0,Wood,Old
444,Subj_445,-130,56.99999999999999,Wood,Old
445,Subj_446,-1775,71.0,Wood,Old
446,Subj_447,-900,67.0,Wood,Old
447,Subj_448,-1570,78.0,Wood,Old
448,Subj_449,1045,74.0,Wood,Old
449,Subj_450,-1420,50.0,Wood,Old
450,Subj_451,-595,60.0,Wood,Old
451,Subj_452,-470,51.0,Wood,Old
452,Subj_453,2360,33.0,Wood,Old
453,Subj_454,-565,66.0,Wood,Old
454,Subj_455,-1510,56.99999999999999,Wood,Old
455,Subj_456,-2475,77.0,Wood,Old
456,Subj_457,-1860,75.0,Wood,Old
457,Subj_458,-2330,63.0,Wood,Old
458,Subj_459,2480,73.0,Wood,Old
459,Subj_460,-3290,73.0,Wood,Old
460,Subj_461,-3290,73.0,Wood,Old
461,Subj_462,-720,73.0,Wood,Old
462,Subj_463,-2000,59.0,Wood,Old
463,Subj_464,-1570,64.0,Wood,Old
464,Subj_465,2400,70.0,Wood,Old
465,Subj_466,-1035,52.0,Wood,Old
466,Subj_467,-2375,69.0,Wood,Old
467,Subj_468,1390,76.0,Wood,Old
468,Subj_469,-2235,50.0,Wood,Old
